Dátum,Kereskedelem és vendéglátás,Szállítmányozás,Infokommunikáció,Pénzügyi szolgáltatások,Ingatlanügyletek,Tudományos és üzleti szolgáltatások,Közszolgáltatások,Szabad idő
2015-01-01,1068389,516757,341365,326864,1060618,755594,1952296,252346
2015-04-01,1072604,527319,343188,329427,1067404,766805,1951341,252634
2015-07-01,1083155,540187,347655,330469,1066687,776271,1979454,253742
2015-10-01,1094612,530346,350292,333069,1072056,792826,1957066,255897
2016-01-01,1093064,553571,353044,334118,1088252,798310,1979020,254355
2016-04-01,1103236,551492,361255,334033,1091234,814131,1993227,255922
2016-07-01,1112417,550856,366160,336960,1097646,827940,1993980,262377
2016-10-01,1119985,567358,373167,338518,1101389,847512,2016890,266533
2017-01-01,1142505,551706,378631,335847,1102709,885378,1994644,271580
2017-04-01,1167346,557240,397516,339552,1112516,907060,1983120,276258
2017-07-01,1198167,571341,411709,342925,1119293,937701,1976683,284417
2017-10-01,1229570,588553,415569,348484,1130533,961322,1981562,288276
2018-01-01,1283679,601851,436597,357158,1153267,975280,1995613,292462
2018-04-01,1308128,600496,442578,365250,1160209,1000031,1998822,298926
2018-07-01,1324650,604069,447047,375433,1180384,1021703,2013312,301535
2018-10-01,1342620,617126,465341,384273,1189205,1043222,2002909,306347
2019-01-01,1337804,638733,478024,407214,1195356,1060062,2025861,321562
2019-04-01,1359808,639424,488626,417252,1210342,1077090,2026346,327610
2019-07-01,1374721,658543,498091,425957,1205619,1092916,2015906,324869
2019-10-01,1414477,656857,515157,434300,1220771,1115742,2017369,334245
