21.2.1.2. A bruttó hazai termék (GDP) negyedéves volumenindexei;;;;;
Év;Negyedév;Kiigazítás nélküli, nyers adatok (elõzõ év azonos idõszaka=100,0%);Naptárhatás kiszûrésével (elõzõ év azonos idõszaka=100,0%);Szezonálisan és naptárhatással kiigazított és kiegyensúlyozott adatok (elõzõ év azonos idõszaka=100,0%);Szezonálisan és naptárhatással kiigazított és kiegyensúlyozott adatok (elõzõ negyedév=100,0%)
1996.;I.;99,7;100,1;100,2;100,9
;II.;99,6;99,6;99,6;99,2
;III.;99,6;99,5;99,5;99,8
;IV.;101,3;101,1;101,1;101,3
1997.;I.;100,7;100,8;101,1;100,9
;II.;103,2;103,0;103,0;101,0
;III.;104,1;104,2;104,1;100,9
;IV.;103,7;103,7;103,7;100,8
1998.;I.;103,4;103,2;103,6;100,8
;II.;103,9;104,1;104,1;101,6
;III.;104,4;104,4;104,2;100,9
;IV.;103,7;103,5;103,3;100,0
1999.;I.;102,1;102,3;102,5;100,0
;II.;102,2;102,0;102,1;101,1
;III.;103,1;103,1;103,1;101,9
;IV.;104,8;104,4;104,2;101,1
2000.;I.;105,3;105,1;105,1;100,8
;II.;104,8;105,0;104,9;100,9
;III.;103,9;103,9;103,9;100,9
;IV.;103,8;104,7;104,7;101,9
2001.;I.;104,5;104,5;104,5;100,7
;II.;104,5;104,5;104,3;100,8
;III.;104,1;104,3;104,3;100,9
;IV.;103,3;103,1;103,1;100,8
2002.;I.;104,5;104,7;104,8;102,3
;II.;104,6;104,6;104,5;100,5
;III.;104,8;104,6;104,5;100,9
;IV.;105,0;105,0;105,0;101,2
2003.;I.;103,3;103,1;103,3;100,7
;II.;104,0;104,0;103,9;101,1
;III.;104,3;104,3;104,2;101,2
;IV.;104,2;104,0;104,0;101,0
2004.;I.;104,6;104,7;105,0;101,7
;II.;105,3;105,1;105,0;101,1
;III.;105,1;105,1;105,0;101,2
;IV.;104,8;104,4;104,4;100,4
2005.;I.;103,3;103,3;103,6;100,9
;II.;104,8;104,6;104,6;102,1
;III.;104,3;104,1;104,1;100,7
;IV.;104,7;105,1;104,9;101,1
2006.;I.;104,9;104,5;104,7;100,7
;II.;103,6;104,0;104,1;101,5
;III.;103,8;104,0;103,9;100,5
;IV.;103,6;104,0;103,8;101,0
2007.;I.;101,6;101,8;101,7;98,7
;II.;100,1;100,1;100,2;99,9
;III.;100,0;100,2;100,1;100,5
;IV.;99,8;99,6;99,5;100,3
2008.;I.;101,8;102,0;101,8;101,0
;II.;102,6;102,4;102,4;100,5
;III.;101,9;101,7;101,6;99,7
;IV.;97,9;97,7;97,7;96,5
2009.;I.;92,8;92,7;92,6;95,8
;II.;91,9;92,1;92,2;100,1
;III.;92,4;92,4;92,4;99,9
;IV.;95,8;95,7;95,7;99,9
2010.;I.;99,8;100,0;100,1;100,1
;II.;100,8;100,6;100,8;100,8
;III.;101,6;101,6;101,6;100,8
;IV.;101,9;101,7;101,6;99,9
2011.;I.;102,9;102,7;102,7;101,2
;II.;101,5;101,5;101,7;99,8
;III.;101,3;101,1;101,0;100,1
;IV.;102,1;102,5;102,3;101,1
2012.;I.;99,8;99,8;99,7;98,6
;II.;98,7;98,9;98,9;99,1
;III.;98,8;99,2;99,1;100,3
;IV.;97,5;97,7;97,7;99,8
2013.;I.;99,4;99,6;99,7;100,6
;II.;101,5;101,5;101,6;100,9
;III.;103,1;102,9;102,9;101,6
;IV.;103,8;103,8;104,0;100,8
2014.;I.;104,5;104,3;104,3;101,0
;II.;104,8;104,8;104,7;101,3
;III.;104,1;104,1;104,1;101,0
;IV.;104,0;103,8;103,8;100,5
2015.;I.;104,5;104,5;104,5;101,6
;II.;103,4;103,4;103,3;100,1
;III.;103,0;103,0;103,1;100,8
;IV.;103,8;103,6;103,6;101,1
2016.;I.;101,4;101,7;101,7;99,8
;II.;103,4;103,0;102,9;101,2
;III.;102,7;102,5;102,6;100,5
;IV.;102,2;102,4;102,5;100,9
2017.;I.;104,5;103,9;103,9;101,2
;II.;103,5;104,0;103,9;101,2
;III.;104,1;104,3;104,3;100,9
;IV.;104,4;104,8;104,9;101,5
2018.;I.;105,3;105,7;105,7;101,9
;II.;105,6;105,4;105,4;100,9
;III.;105,8;106,0;106,0;101,5
;IV.;105,7;105,5;105,6;101,1
2019.;I.;105,5;105,5;105,7;102,1
;II.;105,0;105,2;105,1;100,3
;III.;105,2;105,0;105,0;101,4
;IV.;104,6;104,6;104,5;100,7
2020.;I.;102,3;102,0;102,1;99,7
;II.;87,3;87,3;87,0;85,5
;III.;96,0;96,0;95,9;111,8
;IV.;97,4;97,0;97,0;101,8
2021.;I.;98,0;98,2;98,5;101,2
;II.;117,9;117,7;117,7;102,2
;III.;106,3;106,3;106,6;101,2
;IV.;107,3;107,1;107,4;102,5
2022.;I.;107,6;107,4;107,4;101,3
;II.;106,4;106,4;106,1;101,0
;III.;104,1;103,9;103,7;98,9
;IV.;99,8;100,2;100,2;99,0
2023.;I.;98,7;98,5;98,5;99,6
;II.;97,5;97,7;97,7;100,2
;III.;100,0;100,2;100,2;101,4
;IV.;100,4;100,8;100,8;99,6
2024.;I.;101,1;101,7;101,6;100,4
;II.;101,5;101,3;101,2;99,8
;III.;99,2;99,2;99,2;99,3
;IV.;100,4;100,2;100,1;100,6
2025.;I.;100,0;99,6;99,6;99,8
;II.;;;;
;III.;;;;
;IV.;;;;
2024.;I–IV.;100,5;100,5;100,5;x
