,1,2,3,4,5,6,7,8,9,10,11,12
1995,103.2,102,102,102.1,102.4,102,101.9,101.8,102,102,101.9,101.6
1996,101.8,101.8,101.7,101.4,101.5,101.4,101.3,101.4,101.2,101.2,101.1,101.3
1997,101.3,101.4,101.3,101.3,101,101.1,101.2,101.2,101.3,101.1,101.1,101.2
1998,101.4,101,101.1,100.7,100.9,100.9,100.8,100.6,100.7,101,100.8,100.9
1999,100.5,100.6,100.8,100.9,100.7,100.7,100.8,100.8,100.4,100.5,100.5,100.6
2000,100.4,100.5,100.5,100.7,100.6,100.8,100.7,101.1,101.1,100.6,100.7,100.7
2001,101.2,100.9,100.8,100.6,100.6,100.6,100.5,100.3,100.4,100.5,100.5,100.5
2002,100.3,100.5,100.4,100.4,100.4,100.3,100.3,100.2,100.4,100.3,100.2,100.2
2003,100.1,100.2,100.3,100.3,100.2,100.4,100.4,100.3,100.2,100.5,100.5,100.3
2004,101.1,100.6,100.3,100.2,100.5,100.3,100.2,100.1,100.1,100.1,100.2,100.1
2005,100.3,100,100.1,100.2,100.1,100,100,100.2,100.1,100.1,100.3,100.1
2006,99.3,100,100.1,100.1,100.4,100.3,100.5,100.7,101.7,100.5,100.3,100.3
2007,100.1,100.3,100.4,100.1,100.2,100.4,100.2,100.4,100.7,100.6,100.5,100.5
2008,100.5,100.4,100.5,100.4,100.5,100.3,100.3,100.2,100.1,100.2,100.1,100.2
2009,100.1,100.2,100.2,100.4,100.4,100.3,102.1,100.1,100.1,99.9,100,100
2010,100.2,99.9,100.2,100,100,99.9,100.1,100.3,100.2,100.4,100.2,100.4
2011,100,100.1,101,100.4,100.4,100.2,100.2,100.1,100.1,100.3,100.2,100.2
2012,101.5,100.5,100.1,100.2,99.9,100.3,100.3,100.1,100.1,100.1,100.2,100.2
2013,100.1,100.3,100.2,100.2,100.1,100.1,100.1,100.2,100.5,100.1,100.2,100.1
2014,100.2,99.9,100.1,99.9,100.2,100.2,100.2,100.2,99.8,100.1,100.1,100
2015,100.2,100,100.1,100,100.1,100.1,100.1,100.2,100,100.4,100.1,100.1
2016,100.1,100,100,100.3,99.9,100.1,100.1,100.1,100.2,100.4,100.2,100.2
2017,100,100.2,100.1,100.2,100.1,100.3,100.2,100.3,100.3,100,100.1,100.2
2018,99.9,100.1,100,100.4,100.2,100.2,100.4,100.2,100.4,100.3,100.2,100.3
2019,100.1,100.4,100.3,100.2,100.5,100.2,100,100.2,100.6,100.4,100.2,100.2
2020,100.4,100.5,100.5,100.2,100.1,100.2,100.7,100.3,100,100.1,100.2,100
2021,100.4,100.5,100.2,100.4,100.4,100.6,100.3,100.4,100.5,100.8,100.8,101
2022,101.3,101.2,101,101.6,102.1,102.1,102.9,102.3,102,102.1,102.1,101.7
2023,101.7,101.1,101.4,100.8,100.5,100.4,100.1,100.3,100.1,100.2,100.4,100.3
2024,100.3,100.1,100.7,100.5,100.5,100.5,100.6,100.3,100.3,99.9,100.3,100.6
2025,101.3,100.5,100.2,99.9,,,,,,,,
